method,homDim,score,strDim
vab,0,0.9796919833699662,0
pl,0,0.3919753699782452,0
ps,0,0.9488651955682924,0
nl,0,0.9546494766444916,0
ecc,0,0.9631415405942484,0
pes,0,0.960539653814926,0
pi,0,0.9686791421276504,0
vpb,0,0.9705630187970574,0
vab,1,0.9875984959057024,1
pl,1,0.9856131334358704,1
ps,1,0.984875251930692,1
nl,1,0.989326028907616,1
ecc,1,0.990009171238908,1
pes,1,0.7413382927631597,1
pi,1,0.9634663440380372,1
vpb,1,0.0200568990522554,1
vab,"[0, 1]",0.9927205178250974,"[0, 1]"
pl,"[0, 1]",0.9878229686274882,"[0, 1]"
ps,"[0, 1]",0.9897347251170164,"[0, 1]"
nl,"[0, 1]",0.9901919012805832,"[0, 1]"
ecc,"[0, 1]",0.9918213420647732,"[0, 1]"
pes,"[0, 1]",0.9718970809579917,"[0, 1]"
pi,"[0, 1]",0.5084427802851447,"[0, 1]"
vpb,"[0, 1]",0.0139056661274572,"[0, 1]"
vab,0,0.9724887356890408,0
pl,0,0.4585779684979923,0
ps,0,0.9377184536943464,0
nl,0,0.9598323915512764,0
ecc,0,0.96452156037003,0
pes,0,0.9722025581045068,0
pi,0,0.9686045399572948,0
vpb,0,0.9708326913310954,0
vab,1,0.9881758028749408,1
pl,1,0.986131152741668,1
ps,1,0.9879818844602588,1
nl,1,0.9752462734915676,1
ecc,1,0.9919207295689546,1
pes,1,0.7681247345322053,1
pi,1,0.0166925732686355,1
vpb,1,1.3807152796929238e-05,1
vab,"[0, 1]",0.9929891863804484,"[0, 1]"
pl,"[0, 1]",0.9855074557156226,"[0, 1]"
ps,"[0, 1]",0.9849753309663212,"[0, 1]"
nl,"[0, 1]",0.9897503237517586,"[0, 1]"
ecc,"[0, 1]",0.9913360548593626,"[0, 1]"
pes,"[0, 1]",0.9730630373883784,"[0, 1]"
pi,"[0, 1]",0.4262375764018813,"[0, 1]"
vpb,"[0, 1]",0.0152887425625818,"[0, 1]"
vab,0,0.9682245261039418,0
pl,0,0.5200445037417177,0
ps,0,0.937734411711582,0
nl,0,0.9482786294201644,0
ecc,0,0.9717324052948484,0
pes,0,0.9668764934854578,0
pi,0,0.9697025919515158,0
vpb,0,0.969794510093726,0
vab,1,0.986939445853336,1
pl,1,0.988400970725898,1
ps,1,0.984515999974328,1
nl,1,0.9856052079416914,1
ecc,1,0.9911966351916314,1
pes,1,0.7733628811203332,1
pi,1,0.0205323057435236,1
vpb,1,0.0186193339632303,1
vab,"[0, 1]",0.9934650301220544,"[0, 1]"
pl,"[0, 1]",0.987355046945897,"[0, 1]"
ps,"[0, 1]",0.9887691054604514,"[0, 1]"
nl,"[0, 1]",0.9896581197002864,"[0, 1]"
ecc,"[0, 1]",0.9915790293189118,"[0, 1]"
pes,"[0, 1]",0.9741358083434232,"[0, 1]"
pi,"[0, 1]",0.0808387266083668,"[0, 1]"
vpb,"[0, 1]",0.0074660747029157,"[0, 1]"
vab,0,0.9744239131697624,0
pl,0,0.4689671979496973,0
ps,0,0.9363230478798436,0
nl,0,0.9541706652619518,0
ecc,0,0.9728816585545574,0
pes,0,0.9713087384710876,0
pi,0,0.96689339096339,0
vpb,0,0.9622891882900068,0
vab,1,0.9864400516978068,1
pl,1,0.9885899579531002,1
ps,1,0.9832306135560136,1
nl,1,0.984834965102392,1
ecc,1,0.992189772328764,1
pes,1,0.7844969647500216,1
pi,1,0.0309570575790385,1
vpb,1,0.0132138602181609,1
vab,"[0, 1]",0.9894102860332432,"[0, 1]"
pl,"[0, 1]",0.98552009500208,"[0, 1]"
ps,"[0, 1]",0.9869114844638875,"[0, 1]"
nl,"[0, 1]",0.9856300079083488,"[0, 1]"
ecc,"[0, 1]",0.994270958467403,"[0, 1]"
pes,"[0, 1]",0.976786378980955,"[0, 1]"
pi,"[0, 1]",0.6281686565870643,"[0, 1]"
vpb,"[0, 1]",1.3419664583064526e-06,"[0, 1]"
vab,0,0.9651105567160224,0
pl,0,0.5722922924425126,0
ps,0,0.941997167836879,0
nl,0,0.956532341871781,0
ecc,0,0.9625802650737696,0
pes,0,0.9653258689780192,0
pi,0,0.9680197727387548,0
vpb,0,0.9724110050347832,0
vab,1,0.8989134665082188,1
pl,1,0.9823216590724236,1
ps,1,0.982529711819687,1
nl,1,0.981195036654776,1
ecc,1,0.992465341358558,1
pes,1,0.8089045402000365,1
pi,1,0.9621962435577348,1
vpb,1,0.0126306240374932,1
vab,"[0, 1]",0.9916193114302104,"[0, 1]"
pl,"[0, 1]",0.8979783627683607,"[0, 1]"
ps,"[0, 1]",0.9868456188859924,"[0, 1]"
nl,"[0, 1]",0.988788658147541,"[0, 1]"
ecc,"[0, 1]",0.9926843451537332,"[0, 1]"
pes,"[0, 1]",0.970409714900852,"[0, 1]"
pi,"[0, 1]",0.3569450077691459,"[0, 1]"
vpb,"[0, 1]",0.0110681790263437,"[0, 1]"
vab,0,0.9753874623571644,0
pl,0,0.4346436659864996,0
ps,0,0.9437427873964164,0
nl,0,0.958648168795962,0
ecc,0,0.9729205809324584,0
pes,0,0.9733310255435178,0
pi,0,0.9741628698803504,0
vpb,0,0.975893781463748,0
vab,1,0.9854881976621536,1
pl,1,0.9810337668986764,1
ps,1,0.9840155658708228,1
nl,1,0.9859821876544456,1
ecc,1,0.9936352544420402,1
pes,1,0.7734231434183712,1
pi,1,0.1523241537495595,1
vpb,1,0.0173693850269686,1
vab,"[0, 1]",0.992106745737683,"[0, 1]"
pl,"[0, 1]",0.9837219082169798,"[0, 1]"
ps,"[0, 1]",0.9815393380331576,"[0, 1]"
nl,"[0, 1]",0.988810057271714,"[0, 1]"
ecc,"[0, 1]",0.9882858134829636,"[0, 1]"
pes,"[0, 1]",0.9782308793669702,"[0, 1]"
pi,"[0, 1]",0.9816213906097284,"[0, 1]"
vpb,"[0, 1]",0.0075109339358902,"[0, 1]"
vab,0,0.9508666685127368,0
pl,0,0.5224169300867817,0
ps,0,0.9418798370398612,0
nl,0,0.9533495353126172,0
ecc,0,0.9666860582623572,0
pes,0,0.9686126942613716,0
pi,0,0.9717317934629126,0
vpb,0,0.0560084106652514,0
vab,1,0.9882667586711524,1
pl,1,0.9847296585701096,1
ps,1,0.984279081944072,1
nl,1,0.9853959755930796,1
ecc,1,0.991693460707999,1
pes,1,0.7808834307677912,1
pi,1,0.9453930796813952,1
vpb,1,0.0079060346891132,1
vab,"[0, 1]",0.9933044637995636,"[0, 1]"
pl,"[0, 1]",0.9848848305282206,"[0, 1]"
